date_key,value,classification,total_volume_usd,net_pnl,trade_count,net_flow_usd,classification_ordered,date
2023-05-01,63.0,Greed,477.0,0.0,3,477.0,Greed,2023-05-01
2023-12-05,75.0,Extreme Greed,50005.83,0.0,9,8.590000000000146,Extreme Greed,2023-12-05
2023-12-14,72.0,Greed,113203.35,-205.43473700000007,11,-10388.410000000002,Greed,2023-12-14
2023-12-15,70.0,Greed,10609.95,-24.632033999999997,2,10609.95,Greed,2023-12-15
2023-12-16,67.0,Greed,15348.77,0.0,3,15348.77,Greed,2023-12-16
2023-12-17,73.0,Greed,116278.02,304.982785,14,-15653.599999999999,Greed,2023-12-17
2023-12-18,65.0,Greed,31164.179999999997,0.0,2,31164.179999999997,Greed,2023-12-18
2023-12-19,73.0,Greed,91602.41,1000.5386120000001,15,-32164.57,Greed,2023-12-19
2023-12-20,74.0,Greed,141636.79,162.732282,18,-162.71000000000367,Greed,2023-12-20
2023-12-21,70.0,Greed,125233.97,537.211402,49,-537.1699999999987,Greed,2023-12-21
2023-12-22,74.0,Greed,88874.28,141.832675,10,29516.36,Greed,2023-12-22
2023-12-23,70.0,Greed,78438.25,146.936704,13,-29805.01,Greed,2023-12-23
2023-12-24,71.0,Greed,402954.94,1008.619956,39,-1008.4600000000064,Greed,2023-12-24
2023-12-25,73.0,Greed,59948.51,-245.081348,3,245.20999999999913,Greed,2023-12-25
2023-12-27,73.0,Greed,171411.06,-704.8892269999999,28,704.9800000000014,Greed,2023-12-27
2023-12-28,73.0,Greed,100117.25,-970.730876,23,970.7699999999998,Greed,2023-12-28
2023-12-29,65.0,Greed,569559.72,508.92214299999995,50,49577.76,Greed,2023-12-29
2023-12-30,68.0,Greed,702550.21,354.998648,52,-50441.39000000002,Greed,2023-12-30
2024-01-01,65.0,Greed,264239.52999999997,-129.53146,18,129.62999999999738,Greed,2024-01-01
2024-01-02,71.0,Greed,121348.74,783.979116,17,-784.0999999999918,Greed,2024-01-02
2024-01-03,70.0,Greed,394499.36,866.015507,67,-865.5599999999977,Greed,2024-01-03
2024-01-04,68.0,Greed,99792.54000000001,-67.60364,5,67.60000000000582,Greed,2024-01-04
2024-01-05,72.0,Greed,1703942.66,164.141565,66,-163.6400000000358,Greed,2024-01-05
2024-01-06,70.0,Greed,298521.4,135.58166400000002,22,-135.41999999999462,Greed,2024-01-06
2024-01-07,71.0,Greed,1048850.06,-835.681235,97,57051.62,Greed,2024-01-07
2024-01-08,71.0,Greed,1522452.43,-269.874439,128,-53944.85000000001,Greed,2024-01-08
2024-01-09,76.0,Extreme Greed,870051.97,-826.349863,70,-1174.7900000000081,Extreme Greed,2024-01-09
2024-01-10,73.0,Greed,2057479.48,-1517.091342,193,1517.1599999999962,Greed,2024-01-10
2024-01-11,76.0,Extreme Greed,305314.1,-164.08950099999998,21,46297.82000000001,Extreme Greed,2024-01-11
2024-01-12,71.0,Greed,200082.27,-1925.519024,7,3925.0099999999934,Greed,2024-01-12
2024-01-15,52.0,Neutral,50636.1,152.85358,14,49376.38,Neutral,2024-01-15
2024-01-16,64.0,Greed,116427.33,-2299.171458,9,-75253.17,Greed,2024-01-16
2024-01-17,60.0,Greed,800831.03,813.2741110000001,53,-813.3500000000131,Greed,2024-01-17
2024-01-18,63.0,Greed,424631.52999999997,68.93319,46,24932.55,Greed,2024-01-18
2024-01-19,51.0,Neutral,428428.97,-385.419235,48,-22615.310000000005,Neutral,2024-01-19
2024-01-20,52.0,Neutral,1070090.51,-146.57487000000003,106,48382.70999999999,Neutral,2024-01-20
2024-01-21,56.0,Greed,103129.74,266.58114600000005,11,-2533.2800000000057,Greed,2024-01-21
2024-01-22,55.0,Greed,337878.99,1375.640959,85,27799.030000000013,Greed,2024-01-22
2024-01-23,50.0,Neutral,414518.93000000005,-369.2447299999998,45,68056.40999999999,Neutral,2024-01-23
2024-01-24,48.0,Neutral,965084.59,-2808.353815,68,-68095.65,Neutral,2024-01-24
2024-01-25,52.0,Neutral,66566.13,-3093.6293849999997,6,-66566.13,Neutral,2024-01-25
2024-01-26,49.0,Neutral,11773.21,90.2,5,2427.21,Neutral,2024-01-26
2024-01-28,54.0,Neutral,18109.03,-2478.06972,11,-18109.03,Neutral,2024-01-28
2024-01-29,55.0,Greed,414208.18,486.562542,74,-265.04000000000497,Greed,2024-01-29
2024-01-30,61.0,Greed,401011.38,-173.65419100000003,49,173.83999999998923,Greed,2024-01-30
2024-01-31,60.0,Greed,6305647.13,-799.840817,859,47958.13000000001,Greed,2024-01-31
2024-02-01,63.0,Greed,2008.18,0.0,6,2008.18,Greed,2024-02-01
2024-02-02,63.0,Greed,474278.43,456.423473,42,-2478.510000000008,Greed,2024-02-02
2024-02-03,60.0,Greed,603820.0,223.30918699999998,56,-2166.1600000000108,Greed,2024-02-03
2024-02-04,60.0,Greed,203187.53,47.62389499999999,35,3644.4299999999944,Greed,2024-02-04
2024-02-05,60.0,Greed,770198.26,-33.45419400000003,72,33.69999999999709,Greed,2024-02-05
2024-02-06,64.0,Greed,8047153.41,-215.615907,1088,10783.949999999977,Greed,2024-02-06
2024-02-07,62.0,Greed,6758.73,241.24212,15,-2241.21,Greed,2024-02-07
2024-02-08,66.0,Greed,26051.12,770.756024,10,-20315.22,Greed,2024-02-08
2024-02-11,71.0,Greed,212311.82,983.443176,34,9232.900000000001,Greed,2024-02-11
2024-02-12,70.0,Greed,227247.69999999998,913.8817869999998,16,-1195.5399999999913,Greed,2024-02-12
2024-02-13,79.0,Extreme Greed,1999.99,559.44389,14,-1999.99,Extreme Greed,2024-02-13
2024-02-14,74.0,Greed,320839.88,3830.599833,111,-5339.9199999999955,Greed,2024-02-14
2024-02-15,72.0,Greed,185188.04,1840.797677,63,-4841.579999999998,Greed,2024-02-15
2024-02-16,72.0,Greed,564896.51,5491.768834,182,-4741.309999999998,Greed,2024-02-16
2024-02-17,76.0,Extreme Greed,406118.07,1929.6418,94,1317.2699999999986,Extreme Greed,2024-02-17
2024-02-18,72.0,Greed,157048.17,477.6248299999999,97,-477.6099999999982,Greed,2024-02-18
2024-02-19,75.0,Extreme Greed,286377.2,4317.768563,101,-4317.719999999996,Extreme Greed,2024-02-19
2024-02-20,72.0,Greed,119419.72,3263.628824,39,-4763.619999999998,Greed,2024-02-20
2024-02-21,78.0,Extreme Greed,108047.51999999999,1858.7985700000002,22,8146.820000000006,Extreme Greed,2024-02-21
2024-02-22,74.0,Greed,373033.87,3894.1050699999996,88,1106.6500000000037,Greed,2024-02-22
2024-02-23,76.0,Extreme Greed,111106.14,1418.55293,143,-1418.5399999999995,Extreme Greed,2024-02-23
2024-02-25,74.0,Greed,4480.13,-30.7705,5,30.769999999999868,Greed,2024-02-25
2024-02-26,72.0,Greed,192187.14,4416.8473,39,-4916.819999999994,Greed,2024-02-26
2024-02-27,79.0,Extreme Greed,209362.3,888.511733,63,-2888.4600000000023,Extreme Greed,2024-02-27
2024-02-28,82.0,Extreme Greed,171107.13,2503.747235,45,-2503.9099999999908,Extreme Greed,2024-02-28
2024-02-29,80.0,Extreme Greed,395666.73,9813.996992,116,-33320.33,Extreme Greed,2024-02-29
2024-03-01,80.0,Extreme Greed,472974.7,8244.241409,137,-8244.220000000005,Extreme Greed,2024-03-01
2024-03-02,80.0,Extreme Greed,63197.56,230.90060000000005,31,1268.9999999999982,Extreme Greed,2024-03-02
2024-03-03,83.0,Extreme Greed,390745.68,8361.086245,79,-8361.1,Extreme Greed,2024-03-03
